# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	29585
#@/user_id	e99bcb09-d6ab-49a3-95df-5fff3ab5639a
a 	啊	c=132 d=1.22016 t=28797
mei ye 	每頁	c=1 d=1 t=7598
mei yi ge 	每一個	c=2 d=1 t=24074
mei you 	沒有	c=46 d=1.37158 t=29142
mei yuan 	美元	c=1 d=1 t=13720
mei zai xian 	沒在線	c=1 d=1 t=25071
mei zhu yi 	沒主意	c=1 d=1 t=23475
mei zhun 	沒準	c=3 d=1 t=21225
mei zi 	妹子	c=3 d=1.93239 t=14102
men 	們	c=3 d=1 t=20010
men 	悶	c=1 d=1 t=21071
men kou 	門口	c=9 d=1 t=28367
meng 	蒙	c=1 d=1 t=19336
mi 	冪	c=5 d=1.00821 t=29417
mi 	米	c=1 d=1 t=10109
mi hu 	迷糊	c=1 d=1 t=26955
mi ma 	密碼	c=10 d=1.00281 t=22986
mi mi hu hu 	迷迷糊糊	c=1 d=1 t=18750
mi shu 	祕書	c=1 d=1 t=14013
mi yao 	密鑰	c=1 d=1 t=20711
mian 	免	c=1 d=1 t=48
mian 	眠	c=0 d=0.1 t=19148
mian 	麪	c=2 d=0.318712 t=22313
mian bao 	麪包	c=2 d=1 t=18607
mian e 	面額	c=3 d=2.9178 t=24491
mian fei 	免費	c=4 d=1 t=24293
mian mian 	面面	c=1 d=1 t=22015
mian pei 	免賠	c=1 d=1 t=15934
mian shi 	面試	c=19 d=1.36119 t=29492
mian zhi 	面值	c=3 d=1.00079 t=4777
miao 	秒	c=6 d=1.00324 t=27762
miao shu 	描述	c=6 d=1.24339 t=28042
miao shu cheng 	描述成	c=1 d=1 t=28022
min gan 	敏感	c=2 d=1 t=26468
ming 	名	c=10 d=1 t=27252
ming 	明	c=2 d=1 t=20760
ming bai 	明白	c=5 d=0.1 t=20384
ming chao 	明朝	c=1 d=1 t=136
ming cheng 	名稱	c=5 d=0.1 t=28164
ming hou tian 	明後天	c=1 d=1 t=28202
ming ling 	命令	c=12 d=1 t=28913
ming ling hang 	命令行	c=2 d=1.5886 t=307
ming lve 	名略	c=2 d=1 t=29552
ming ming 	命名	c=8 d=1 t=15433
ming ti 	命題	c=1 d=1 t=25965
ming tian 	明天	c=24 d=1 t=27929
ming tian ba 	明天吧	c=1 d=1 t=17209
ming wei 	名爲	c=1 d=1 t=14583
ming xian 	明顯	c=1 d=1 t=12715
ming yue 	明月	c=2 d=1 t=19138
ming yue guang 	明月光	c=1 d=1 t=19133
mo 	模	c=1 d=1 t=27036
mo 	磨	c=1 d=1 t=7250
mo kuai 	模塊	c=21 d=1.07843 t=19275
mo mo 	默默	c=1 d=1 t=15169
mo ren 	默認	c=21 d=1.0001 t=26317
mo ren de 	默認的	c=1 d=1 t=15560
mo ren qing kuang 	默認情況	c=1 d=1 t=24944
mo ren zhi 	默認值	c=4 d=1.0526 t=19754
mo shi 	模式	c=13 d=1.99533 t=29241
mo wei 	末尾	c=1 d=1 t=13333
mo xing 	模型	c=2 d=1 t=28083
mo yu 	摸魚	c=1 d=1 t=23874
mou ge 	某個	c=4 d=1.00007 t=27757
mou ge ren wu 	某個任務	c=1 d=1 t=14300
mou ge zhi 	某個值	c=1 d=1 t=14477
mou tian 	某天	c=1 d=1 t=25222
mou tiao 	某條	c=1 d=1 t=24133
mou xie 	某些	c=6 d=1 t=27096
mou zhong 	某種	c=3 d=1 t=23815
mu biao 	目標	c=6 d=1 t=26770
mu biao cheng xu 	目標程序	c=1 d=1 t=23741
mu biao wen jian 	目標文件	c=1 d=1 t=23746
mu bu 	幕布	c=2 d=1 t=19389
mu lu 	目錄	c=7 d=1 t=29511
mu qian 	目前	c=7 d=1 t=26080
mu ru 	母乳	c=2 d=1.956 t=17359
na 	哪	c=12 d=1 t=29016
na 	娜	c=1 d=1 t=7944
na 	拿	c=23 d=1 t=27235
na 	那	c=134 d=1.03088 t=29557
na bian 	那邊	c=18 d=1 t=28951
na bu 	那不	c=1 d=1 t=23575
na chu lai 	拿出來	c=1 d=1 t=22557
na ci 	那次	c=1 d=1 t=21125
na dao 	拿到	c=6 d=1 t=21702
na ge 	哪個	c=13 d=1.01878 t=28107
na ge 	那個	c=73 d=2.08547 t=29056
na ge zu 	那個組	c=1 d=1 t=16154
na hai xing 	那還行	c=1 d=1 t=16848
na hui 	那會	c=1 d=1 t=27397
na ji ge 	哪幾個	c=1 d=1 t=1888
na jie 	娜姐	c=1 d=1 t=20286
na jiu hao 	那就好	c=3 d=1 t=14871
na jiu ke yi le 	那就可以了	c=1 d=1 t=7384
na lai 	拿來	c=1 d=1 t=27912
na le 	拿了	c=0 d=0.1 t=1786
na li 	哪裏	c=8 d=1.0513 t=29205
na me 	那麼	c=22 d=1.75983 t=27451
na me duo 	那麼多	c=7 d=1 t=29256
na me gao 	那麼高	c=1 d=1 t=731
na me hen 	那麼狠	c=1 d=1 t=16183
na me mang 	那麼忙	c=1 d=1 t=23857
na me yuan 	那麼遠	c=3 d=2.04594 t=6063
na pi 	那批	c=1 d=1 t=17026
na tian 	哪天	c=1 d=1 t=2073
na tian 	那天	c=4 d=1 t=14818
na tiao 	哪條	c=1 d=1 t=1715
na tiao 	那條	c=1 d=1 t=2583
na xie 	哪些	c=7 d=1 t=26132
na xie 	那些	c=3 d=1 t=27467
na xing 	那行	c=2 d=1.00001 t=22320
na xing ba 	那行吧	c=1 d=1 t=20370
na yao 	拿藥	c=1 d=1 t=16044
na ye 	那也	c=1 d=1 t=11910
na ye ke yi 	那也可以	c=1 d=1 t=7419
na you 	哪有	c=1 d=1 t=1355
na zhe 	拿着	c=2 d=1 t=21462
na zhong 	哪種	c=1 d=1 t=25720
na zhong 	那種	c=2 d=1 t=28726
nai 	奶	c=3 d=1.8353 t=19960
nai fen 	奶粉	c=9 d=1.00581 t=24338
nan 	南	c=1 d=1 t=10540
nan 	男	c=3 d=1 t=26566
nan 	難	c=2 d=1 t=26567
nan dong 	難懂	c=1 d=1 t=12839
nan du 	難度	c=4 d=1.79852 t=16555
nan hai 	男孩	c=1 d=1 t=25150
nan kan 	難堪	c=1 d=1 t=3798
nan shou 	難受	c=4 d=1 t=26862
nan xing 	男性	c=1 d=1 t=16120
nan yi 	難以	c=3 d=1 t=27109
nan yi 	難易	c=1 d=1 t=26500
nan yong 	難用	c=4 d=2.51391 t=919
nan yu 	難於	c=1 d=1 t=13520
nao 	腦	c=1 d=1 t=1276
nao jiao 	鬧覺	c=1 d=1 t=1507
nao ren 	腦仁	c=1 d=1 t=22524
nao tu 	腦圖	c=2 d=1.99005 t=23354
nao wan 	鬧玩	c=2 d=1 t=11129
ne 	呢	c=52 d=1.7863 t=29579
nei 	內	c=2 d=1 t=26258
nei bu 	內部	c=9 d=1 t=29434
nei bu shu xing 	內部屬性	c=1 d=1 t=12221
nei ce 	內測	c=1 d=1 t=9473
nei ceng 	內層	c=1 d=1 t=20271
nei cun 	內存	c=26 d=1.96571 t=28082
nei jian 	內建	c=4 d=2.66914 t=18449
nei ju 	內聚	c=1 d=1 t=10932
nei rong 	內容	c=2 d=1 t=23676
nei tui 	內推	c=1 d=1 t=16384
nei tui 	內退	c=1 d=1 t=16383
nei wang 	內網	c=2 d=1 t=26212
nei zhi 	內置	c=2 d=1.23108 t=11831
nen ya 	嫩芽	c=1 d=1 t=23566
neng 	能	c=51 d=1.00104 t=28795
neng bu neng 	能不能	c=8 d=1 t=26415
neng gei 	能給	c=1 d=1 t=17264
neng gou 	能夠	c=6 d=1.00035 t=27468
neng gou yong 	能夠用	c=1 d=1 t=14926
neng kan dao 	能看到	c=1 d=1 t=10060
neng li 	能力	c=1 d=1 t=14258
neng shi yong 	能使用	c=1 d=1 t=19685
neng xing 	能行	c=4 d=2.08882 t=22882
neng yong 	能用	c=5 d=1 t=29061
neng you 	能有	c=1 d=1 t=7167
ni 	你	c=303 d=2.5973 t=29516
ni ba 	你爸	c=1 d=1 t=4592
ni bu shi 	你不是	c=2 d=1 t=19593
ni bu zhi dao 	你不知道	c=4 d=1 t=23321
ni chu lai 	你出來	c=1 d=1 t=7433
ni da suan 	你打算	c=1 d=1 t=11313
ni dao jia 	你到家	c=1 d=1 t=18225
ni de 	你的	c=2 d=1 t=28312
ni gang cai 	你剛纔	c=1 d=1 t=685
ni geng xin 	你更新	c=1 d=1 t=5683
ni gong si 	你公司	c=2 d=1 t=18599
ni hai kan 	你還看	c=1 d=1 t=4683
ni hai you 	你還有	c=1 d=1 t=27185
ni hao 	你好	c=3 d=1.27253 t=18881
ni he 	你和	c=1 d=1 t=4054
ni hui lai 	你回來	c=1 d=1 t=15050
ni hui qu 	你回去	c=1 d=1 t=14817
ni jia 	你加	c=1 d=1 t=21511
ni jia 	你家	c=5 d=1 t=14875
ni jiu shi 	你就是	c=1 d=1 t=26948
ni jue de 	你覺得	c=3 d=1 t=17312
ni kai 	你開	c=1 d=1 t=2986
ni kan 	你看	c=7 d=0.874916 t=20184
ni kan kan 	你看看	c=21 d=1.0435 t=28764
ni kan kan da 	你看看大	c=1 d=1 t=18153
ni kan kan ni 	你看看你	c=2 d=1 t=21282
ni kan kan ni neng 	你看看你能	c=1 d=1 t=4571
ni kan kan xian zai 	你看看現在	c=1 d=1 t=11822
ni kan xia 	你看下	c=1 d=1 t=25300
ni kan yi xia 	你看一下	c=3 d=1 t=27537
ni kan zhe ge 	你看這個	c=1 d=1 t=20185
ni ke bie 	你可別	c=1 d=1 t=22421
ni ke neng 	你可能	c=2 d=1 t=16889
ni ke yi 	你可以	c=1 d=0.1 t=27505
ni ke yi kan 	你可以看	c=1 d=1 t=27506
ni kuai 	你快	c=3 d=1 t=22411
ni kuai shui ba 	你快睡吧	c=1 d=1 t=14837
ni lai 	你來	c=1 d=1 t=4977
ni lia 	你倆	c=2 d=2.05037 t=27012
ni mai 	你買	c=1 d=1 t=17382
ni men 	你們	c=24 d=1.08374 t=28950
ni ming 	匿名	c=3 d=2.44837 t=11007
ni ming han shu 	匿名函數	c=1 d=1 t=11008
ni na 	你拿	c=1 d=1 t=20511
ni qu 	你去	c=2 d=1 t=27738
ni qu chi fan 	你去喫飯	c=1 d=1 t=13788
ni shen me shi hou 	你什麼時候	c=1 d=1 t=13777
ni shi 	你是	c=1 d=1 t=7330
ni shi bu shi 	你是不是	c=1 d=1 t=27497
ni shi shi 	你試試	c=1 d=1 t=10462
ni shuo 	你說	c=4 d=1.00788 t=26115
ni ting 	你聽	c=0 d=0.1 t=6077
ni ting wo de 	你聽我的	c=1 d=1 t=6078
ni wen wen 	你問問	c=1 d=1 t=6064
ni wen yi xia 	你問一下	c=1 d=1 t=5998
ni wu fa 	你無法	c=1 d=1 t=15647
ni xia ban 	你下班	c=1 d=1 t=27483
ni xia zai 	你下載	c=1 d=1 t=4231
ni xian 	你先	c=1 d=1 t=16995
ni xian zai 	你現在	c=5 d=1 t=23844
ni xiang bu xiang 	你想不想	c=1 d=1 t=1712
ni za 	你咋	c=1 d=1 t=14117
ni zai 	你再	c=0 d=0.1 t=24925
ni zai 	你在	c=0 d=0.1 t=7983
ni zai shi shi 	你再試試	c=1 d=1 t=24926
ni zai shi shi 	你在試試	c=1 d=1 t=7984
ni zhe yang 	你這樣	c=1 d=1 t=6050
ni zhi dao 	你知道	c=7 d=1 t=28226
ni zhi qian 	你之前	c=4 d=1 t=20786
ni zi ji 	你自己	c=1 d=1 t=11318
ni zuo tian 	你昨天	c=2 d=1 t=11808
nian 	年	c=16 d=1.06081 t=29271
nian dai 	年代	c=1 d=1 t=14185
nian du 	年度	c=1 d=1 t=28606
nian hou 	年後	c=0 d=0.1 t=2462
nian ji 	年紀	c=3 d=1 t=26551
nian qian 	年前	c=1 d=1 t=16209
nian qing ren 	年輕人	c=1 d=1 t=26560
nian xian 	年限	c=2 d=1.73345 t=24781
nian zhong 	年終	c=5 d=1 t=19251
niao 	鳥	c=1 d=1 t=19152
niu 	牛	c=2 d=1 t=22185
niu bi 	牛逼	c=1 d=1 t=15001
nong 	弄	c=1 d=1 t=26602
nong dian 	弄點	c=1 d=1 t=20746
nong ge 	弄個	c=1 d=1 t=11123
nong zou 	弄走	c=1 d=1 t=3774
nu li 	努力	c=1 d=1 t=7141
nv 	女	c=2 d=1.75201 t=6104
nv de 	女的	c=2 d=1.9802 t=6040
nve 	虐	c=1 d=1 t=16135
o 	哦	c=39 d=1.73196 t=28385
o o 	哦哦	c=16 d=1.00432 t=28616
ou er 	偶爾	c=1 d=1 t=12396
pai 	拍	c=14 d=1.00006 t=29477
pai 	排	c=1 d=1 t=21881
pai 	派	c=0 d=0.1 t=502
pai cha 	排查	c=5 d=1 t=21315
pai chu 	排除	c=1 d=1 t=29070
pai chu suo 	派出所	c=8 d=1 t=14860
pai ge zhao pian 	拍個照片	c=1 d=1 t=484
pai gu 	排骨	c=1 d=1 t=7649
pai gu tang 	排骨湯	c=1 d=1 t=7656
pai lie 	排列	c=2 d=1.76721 t=25643
pai xu 	排序	c=16 d=2.79753 t=18910
pai zhao 	拍照	c=4 d=1.00067 t=21823
pai zi 	牌子	c=1 d=1 t=24736
pan duan 	判斷	c=19 d=1.47288 t=28457
pang bian 	旁邊	c=1 d=1 t=4793
pao 	跑	c=5 d=1.00028 t=22891
pao chu 	拋出	c=8 d=1 t=20028
pao fen 	跑分	c=1 d=1 t=20690
pao jiao 	泡腳	c=1 d=1 t=29055
pao pao 	泡泡	c=1 d=1 t=29063
pao qi 	拋棄	c=2 d=1.81465 t=11609
pao tong 	泡桐	c=2 d=1 t=26082
pao tong 	跑通	c=1 d=1 t=26083
pei 	配	c=9 d=1.5538 t=26505
pei 	陪	c=1 d=1 t=4646
pei dui 	配對	c=1 d=1 t=19970
pei lian 	陪練	c=1 d=1 t=4873
pei lie 	配列	c=1 d=1 t=24525
pei zhi 	配置	c=63 d=4.30071 t=29106
pei zhi wen jian 	配置文件	c=8 d=4.82462 t=29510
pei zhi yi xia 	配置一下	c=1 d=1 t=2489
pen di ji 	盆底肌	c=1 d=1 t=2575
peng 	鵬	c=3 d=1 t=24570
peng ge 	鵬哥	c=2 d=1.96561 t=24585
peng you 	朋友	c=2 d=1 t=15823
pi 	屁	c=1 d=1 t=10851
pi 	皮	c=1 d=1 t=17582
pi fu 	皮膚	c=1 d=1 t=29574
pi liang 	批量	c=16 d=1.0461 t=18137
pi liang shen he 	批量審覈	c=1 d=1 t=9432
pi pei 	匹配	c=7 d=1.40037 t=28171
pian 	偏	c=6 d=1.71534 t=28787
pian 	片	c=0 d=0.1 t=28531
pian 	篇	c=1 d=1 t=1392
pian yi 	便宜	c=9 d=1.77492 t=27293
pian yi 	偏移	c=2 d=1 t=27821
pian zhi 	偏置	c=1 d=1 t=27656
piao 	票	c=1 d=1 t=20489
piao yi 	漂移	c=1 d=1 t=27823
piao yi 	飄逸	c=1 d=1 t=27822
pin 	拼	c=3 d=1.00001 t=22826
pin fan 	頻繁	c=2 d=1 t=27150
pin jie 	拼接	c=2 d=1.42316 t=12800
pin lv 	頻率	c=5 d=1.1631 t=18648
pin pai 	品牌	c=2 d=1 t=24537
ping 	屏	c=0 d=0.199005 t=9709
ping 	平	c=5 d=1.70469 t=24800
ping an 	平安	c=1 d=1 t=15841
ping fen 	評分	c=2 d=1 t=19226
ping guo 	蘋果	c=2 d=1.65377 t=11133
ping heng 	平衡	c=1 d=1 t=7229
ping mu 	屏幕	c=5 d=1 t=9592
ping shi 	平時	c=2 d=1 t=26924
po 	破	c=1 d=1 t=17581
po jie 	破解	c=2 d=1.97531 t=91
po po lan lan 	破破爛爛	c=1 d=1 t=4089
po shi 	破事	c=1 d=1 t=3862
pu bian 	普遍	c=1 d=1 t=27625
pu bu 	瀑布	c=1 d=1 t=9593
pu ji 	普及	c=1 d=1 t=11147
pu tiao 	普調	c=1 d=1 t=3957
pu tong 	普通	c=5 d=1.22764 t=28155
qi 	七	c=1 d=1 t=1696
qi 	其	c=18 d=1.49922 t=25844
qi 	器	c=5 d=1.0179 t=24536
qi 	起	c=4 d=1 t=23718
qi ba 	七八	c=0 d=0.1 t=24755
qi ba sui 	七八歲	c=1 d=1 t=24756
qi che 	汽車	c=1 d=1 t=4850
qi dai 	期待	c=1 d=1 t=14207
qi dian ban 	七點半	c=1 d=1 t=3488
qi dong 	啓動	c=22 d=1.61263 t=29010
qi guai 	奇怪	c=4 d=1 t=29178
qi hu nan xia 	騎虎難下	c=1 d=1 t=7292
qi jian dian 	旗艦店	c=1 d=1 t=20179
qi lai 	起來	c=12 d=1.63763 t=26506
qi ma 	起碼	c=1 d=1 t=4841
qi nian 	七年	c=1 d=1 t=9951
qi niu 	七牛	c=1 d=1.056 t=9961
qi niu yun 	七牛雲	c=1 d=1 t=9962
qi qiu 	氣球	c=1 d=1 t=17225
qi shi 	其實	c=11 d=1 t=26238
qi shi 	起始	c=1 d=1 t=16480
qi si 	氣死	c=1 d=1 t=27894
qi si ren 	氣死人	c=1 d=1 t=21706
qi ta 	其他	c=36 d=1.00004 t=29523
qi wang 	期望	c=4 d=2.22447 t=19216
qi ye 	企業	c=3 d=1.09375 t=5628
qi ye ban 	企業版	c=2 d=1.96561 t=9459
qi ye wei xin 	企業微信	c=1 d=1 t=5151
qi yi 	奇異	c=1 d=1 t=4746
qi yong 	啓用	c=4 d=1 t=11180
qi yu 	其餘	c=1 d=1 t=27857
qi zhong 	其中	c=9 d=1 t=26743
qia 	掐	c=1 d=1 t=2966
qia hao 	恰好	c=3 d=2.70565 t=14582
qian 	乾	c=8 d=1 t=16779
qian 	前	c=6 d=1 t=24818
qian 	千	c=2 d=0.410367 t=28696
qian 	錢	c=9 d=1.00231 t=28375
qian bian 	前邊	c=1 d=1 t=27207
qian dao 	簽到	c=1 d=1 t=9168
qian duan 	前段	c=1 d=1 t=3625
qian duan 	前端	c=21 d=1 t=28430
qian ge 	乾哥	c=9 d=1 t=25029
qian hou 	前後	c=2 d=1 t=28698
qian hou duan 	千後端	c=1 d=1 t=28697
qian liang tian 	前兩天	c=2 d=1 t=14813
qian mian 	前面	c=11 d=1.94649 t=25673
qian ming 	簽名	c=4 d=2.95836 t=18531
qian tao 	嵌套	c=1 d=1 t=13412
qiang 	強	c=2 d=1.86936 t=12719
qiang 	搶	c=4 d=1.83946 t=28127
qiang da 	強大	c=1 d=1 t=13703
qiang diao 	強調	c=1 d=1 t=12471
qiang zhi 	強制	c=9 d=1 t=26708
qiao 	橋	c=1 d=1 t=16218
qie 	且	c=5 d=1 t=13673
qie fen 	切分	c=1 d=1 t=16437
qie huan 	切換	c=6 d=1 t=29512
qie pian 	切片	c=1 d=1 t=24469
qin qi 	親戚	c=1 d=1 t=4608
qing 	清	c=2 d=1 t=8617
qing 	請	c=18 d=4.71833 t=28332
qing 	青	c=1 d=1 t=28372
qing chu 	清楚	c=3 d=1 t=26546
qing chu 	清除	c=1 d=1 t=6966
qing chu le 	清楚了	c=1 d=1 t=6374
qing ge 	請個	c=1 d=1 t=2013
qing hua 	清華	c=2 d=1.94176 t=119
qing hua da xue 	清華大學	c=1 d=1 t=35
qing jia 	請假	c=9 d=1 t=25031
qing kuang 	情況	c=22 d=1.00026 t=29407
qing kuang xia 	情況下	c=1 d=1 t=12522
qing li 	清理	c=3 d=1 t=8227
qing ming 	清明	c=1 d=1 t=21260
qing qiu 	請求	c=25 d=1.077 t=19986
qing wei 	輕微	c=1 d=1 t=11618
qing xiang yu 	傾向於	c=1 d=1 t=12708
qing yu 	慶餘	c=2 d=1 t=15946
qing zhu yi 	請注意	c=1 d=1 t=11917
qiu 	秋	c=1 d=1 t=14005
qu 	區	c=3 d=2.58216 t=10132
qu 	去	c=114 d=3.31819 t=29252
qu 	取	c=12 d=1 t=22750
qu 	曲	c=1 d=1 t=25343
qu 	趣	c=1 d=1 t=19512
qu ba 	去吧	c=0 d=0.1 t=6160
qu bie 	區別	c=9 d=2.28593 t=29436
qu bie yu 	區別於	c=1 d=1 t=4655
qu bu 	去不	c=1 d=1 t=29260
qu chu 	去除	c=1 d=1 t=2849
qu chu 	取出	c=1 d=1 t=22526
qu da 	去打	c=1 d=1 t=1466
qu dao 	渠道	c=1 d=1 t=9449
qu diao 	去掉	c=17 d=1.10166 t=29098
qu dong 	驅動	c=2 d=1 t=27824
qu dong ban 	驅動板	c=2 d=1.98511 t=478
qu dong cheng xu 	驅動程序	c=1 d=1 t=23622
qu dong qi 	驅動器	c=2 d=1.03491 t=24645
qu fen 	區分	c=6 d=1 t=22482
qu le 	去了	c=1 d=1 t=2853
qu mian 	曲面	c=0 d=0.1 t=9709
qu mian ping 	曲面屏	c=1 d=1 t=9710
qu mo 	取模	c=1 d=1 t=29398
qu na 	去哪	c=2 d=1.00021 t=4347
qu she 	取捨	c=1 d=1 t=6737
qu xiao 	取消	c=4 d=1 t=16947
qu yu 	區域	c=1 d=1 t=24241
qu zhi 	取值	c=2 d=1 t=27050
quan 	全	c=22 d=1.07192 t=28488
quan 	券	c=6 d=1.66264 t=28179
quan 	圈	c=1 d=1 t=20135
quan 	權	c=1 d=1 t=26686
quan bu 	全部	c=5 d=1.00361 t=26339
quan cang 	券倉	c=71 d=2.75007 t=28993
quan ju 	全局	c=6 d=3.20834 t=12024
quan tui 	勸退	c=2 d=1.0754 t=3802
quan wen 	全文	c=1 d=1 t=19843
quan xian 	權限	c=14 d=1.00001 t=28290
quan zhan 	全棧	c=1 d=1 t=15041
que 	卻	c=1 d=1 t=16761
que bao 	確保	c=1 d=1 t=25805
que dian 	缺點	c=2 d=1.05054 t=11557
que ding 	確定	c=3 d=1.02096 t=15249
que fa 	缺乏	c=2 d=1.956 t=13755
que qie 	確切	c=1 d=1 t=19836
que ren 	確認	c=3 d=1 t=17840
que ren 	缺人	c=3 d=1 t=13914
que shao 	缺少	c=1 d=1 t=13633
que shi 	確實	c=6 d=1 t=29066
que xian 	缺陷	c=2 d=1 t=27114
qun 	羣	c=3 d=1 t=26442
qun li 	羣裏	c=6 d=1.24537 t=22301
ran 	然	c=1 d=1 t=16734
ran er 	然而	c=4 d=1 t=26785
ran hou 	然後	c=26 d=1.68386 t=28587
rang 	讓	c=10 d=1 t=29478
rang ni 	讓你	c=1 d=1 t=5763
rang ren 	讓人	c=1 d=1 t=5335
rang ta 	讓他	c=2 d=1 t=29490
rang wo 	讓我	c=6 d=1 t=18821
re 	熱	c=3 d=1 t=22838
ren 	人	c=20 d=1 t=21685
ren ding 	認定	c=1 d=1 t=14569
ren duo 	人多	c=1 d=1 t=5549
ren gong 	人工	c=1 d=1 t=18068
ren he 	任何	c=8 d=1.00001 t=19023
ren he shi 	任何事	c=1 d=0.1 t=24125
ren he shi ke 	任何事可	c=1 d=1 t=24126
ren jia 	人家	c=2 d=1.72615 t=5781
ren jun 	人均	c=1 d=1 t=24349
ren lu 	認路	c=2 d=1.93239 t=4926
ren min bi 	人民幣	c=1 d=1 t=13721
ren pin 	人品	c=1 d=1 t=2969
ren shao 	人少	c=2 d=1 t=13772
ren shi 	人事	c=1 d=1 t=11395
ren shi 	認識	c=4 d=1 t=14100
ren wei 	認爲	c=1 d=1 t=25498
ren wu 	人物	c=1 d=0.1 t=8468
ren wu 	任務	c=48 d=1.8914 t=21577
ren wu dui lie 	任務隊列	c=4 d=3.24803 t=13380
ren yuan 	人員	c=2 d=1 t=18073
ren zheng 	認證	c=7 d=3.77462 t=28571
reng dao 	扔到	c=1 d=1 t=1063
ri 	日	c=1 d=1 t=1566
ri hou 	日後	c=1 d=1 t=2842
ri li 	日曆	c=15 d=1 t=28907
ri qi 	日期	c=11 d=1.00486 t=28363
ri zhi 	日誌	c=43 d=1.46935 t=29084
rong chang 	冗長	c=1 d=1 t=25447
rong he 	融合	c=1 d=1 t=4718
rong qi 	容器	c=1 d=1 t=21489
rong yi 	容易	c=8 d=1.0082 t=27944
rong yu 	冗餘	c=1 d=1 t=13808
rong zi 	融資	c=1 d=1 t=3942
ru 	入	c=1 d=1 t=27769
ru 	如	c=3 d=1 t=12473
ru ci 	如此	c=2 d=1 t=22432
ru fei 	如非	c=1 d=1 t=12407
ru guo 	如果	c=75 d=1.25031 t=28941
ru he 	如何	c=14 d=1.94649 t=29357
ru ku 	入庫	c=1 d=1 t=5662
ru shang 	如上	c=3 d=1 t=15646
ru shou 	入手	c=1 d=1 t=18437
ru shu 	入數	c=1 d=1 t=25090
ru tu 	如圖	c=1 d=1 t=24621
ru xia 	如下	c=13 d=1.87244 t=26857
ruan 	軟	c=1 d=1 t=29139
ruan jian 	軟件	c=6 d=1.82118 t=26046
ruo 	弱	c=2 d=1.71534 t=28788
san 	三	c=2 d=1.9802 t=9640
san 	傘	c=4 d=1 t=25122
san ge 	三個	c=8 d=2.87423 t=26113
san ji 	三級	c=5 d=1.42023 t=4767
san jian 	三件	c=0 d=0.1 t=25162
san jian tao 	三件套	c=1 d=1 t=25163
san si ge 	三四個	c=1 d=1.03239 t=21109
san si ge xiao shi 	三四個小時	c=1 d=1 t=21110
san tai 	三臺	c=2 d=1.03877 t=29229
san xing 	三星	c=3 d=2.94092 t=9709
san yang 	三陽	c=1 d=1 t=27815
san zhong 	三種	c=2 d=1 t=27608
sao ma 	掃嘛	c=1 d=1 t=22052
se 	色	c=2 d=1 t=29585
se cai 	色彩	c=1 d=1 t=1061
sha 	啥	c=68 d=1.09585 t=29049
sha bi 	傻逼	c=1 d=1 t=2977
sha chen 	沙塵	c=1 d=1 t=25218
sha de 	啥的	c=1 d=1 t=1509
sha dou you 	啥都有	c=1 d=1 t=3911
sha shi 	啥事	c=1 d=1 t=22508
sha shi hou 	啥時候	c=8 d=1 t=29263
sha yang 	啥樣	c=1 d=1 t=28530
sha yong 	啥用	c=1 d=1 t=21683
shai shai 	曬曬	c=1 d=1 t=16843
shan 	刪	c=1 d=1 t=19731
shan chu 	刪除	c=16 d=1.07342 t=29215
shan diao 	刪掉	c=1 d=1 t=17070
shan dong 	山東	c=1 d=1 t=21099
shan le 	刪了	c=3 d=1 t=27617
shan xi 	山西	c=1 d=1 t=7282
shang 	上	c=102 d=1.65479 t=27936
shang 	商	c=1 d=1 t=8427
shang ban 	上班	c=5 d=1.00003 t=13844
shang ban nian 	上半年	c=1 d=1 t=19345
shang bian 	上邊	c=1 d=1 t=25146
shang biao 	商標	c=2 d=1.97045 t=21164
shang chang 	商場	c=2 d=1.79453 t=20516
shang ci 	上次	c=20 d=1.03543 t=29050
shang ge 	上個	c=0 d=0.1 t=3076
shang ge zu 	上個組	c=2 d=1.04596 t=3693
shang lai 	上來	c=2 d=1 t=7429
shang liang 	商量	c=4 d=1 t=23019
shang liang dian shi 	商量點事	c=1 d=1 t=9438
shang men 	上門	c=1 d=1 t=1585
shang mian 	上面	c=35 d=1.73877 t=28242
shang pin 	商品	c=40 d=1.09107 t=8814
shang pin bian hao 	商品編號	c=1 d=1 t=2253
shang qu 	上去	c=2 d=1 t=26596
shang que 	商榷	c=1 d=1 t=3393
shang tu 	上圖	c=2 d=1 t=23040
shang wang 	上網	c=5 d=1.1979 t=21243
shang wu 	上午	c=11 d=1 t=29001
shang xia 	上下	c=3 d=1 t=27879
shang xian 	上線	c=11 d=1 t=28552
shang xian 	上限	c=2 d=1.37719 t=7641
shang ye 	商業	c=1 d=1 t=14878
shang yi ceng 	上一層	c=1 d=1 t=24259
shang yi ge 	上一個	c=2 d=1.05961 t=4328
shang zhou 	上週	c=1 d=1 t=21843
shao 	少	c=2 d=1 t=17247
shao deng 	稍等	c=9 d=1.37463 t=22646
shao er 	少兒	c=0 d=0.1 t=24528
shao er bian cheng 	少兒編程	c=1 d=1 t=24529
shao hou 	稍後	c=2 d=1.08208 t=18383
shao jian 	少見	c=1 d=1 t=13220
shao ning 	少寧	c=2 d=1.00068 t=26393
